Usuario,Fecha,Semana,Fase,Día,Ejercicio,Serie,Kg,Reps
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press banca barra,1,20,10
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press banca barra,2,22,10
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press banca barra,3,25,8
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press banca barra,4,28,8
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press inclinado mancuernas,1,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press inclinado mancuernas,2,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press inclinado mancuernas,3,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press inclinado mancuernas,4,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Aperturas banco plano,1,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Aperturas banco plano,2,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Aperturas banco plano,3,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Aperturas banco plano,4,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Fondos paralelas/banco,1,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Fondos paralelas/banco,2,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Fondos paralelas/banco,3,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Fondos paralelas/banco,4,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press francés barra Z,1,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press francés barra Z,2,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press francés barra Z,3,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Press francés barra Z,4,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Jalón polea cuerda,1,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Jalón polea cuerda,2,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Jalón polea cuerda,3,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Jalón polea cuerda,4,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Extensión mancuernas cabeza,1,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Extensión mancuernas cabeza,2,,
andres,2025-08-08,1,Fase 1 (Semanas 1-4),Día 1 • Pecho + Tríceps,Extensión mancuernas cabeza,3,,